               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  78,             0.03802,            0.019154,            0.012313,             0.12135,             0.53556,             0.21771,            0.090655,            0.045289,            0.010253,            0.028261,           0.0021245,           0.0021245,           0.0021245
                  79,            0.047806,            0.022572,            0.014256,             0.14218,             0.54167,             0.26262,            0.097365,            0.041032,           0.0099729,            0.027397,           0.0020327,           0.0020327,           0.0020327
                  80,            0.042572,            0.023285,             0.01401,             0.16119,             0.37385,             0.21647,            0.087597,            0.041794,           0.0099954,            0.028121,           0.0019443,           0.0019443,           0.0019443
                  81,            0.039961,            0.021549,            0.011612,              0.1581,             0.35365,             0.23915,            0.093924,            0.039931,           0.0099742,            0.028502,           0.0018594,           0.0018594,           0.0018594
                  82,            0.035978,             0.01932,            0.010318,             0.15428,             0.43234,             0.23046,            0.097635,            0.043352,           0.0099336,            0.028952,           0.0017781,           0.0017781,           0.0017781
                  83,            0.036456,             0.02448,           0.0099263,             0.16534,             0.41667,             0.22843,            0.090746,            0.040868,           0.0098642,            0.028697,           0.0017005,           0.0017005,           0.0017005
                  84,            0.041205,            0.022906,            0.013554,             0.15692,             0.39583,             0.19221,            0.084359,            0.041397,           0.0098667,             0.02816,           0.0016267,           0.0016267,           0.0016267
                  85,            0.035807,            0.021896,            0.012209,             0.16391,             0.33303,             0.20671,            0.081903,            0.040005,           0.0097952,            0.028047,           0.0015566,           0.0015566,           0.0015566
                  86,            0.044949,            0.028855,            0.013472,             0.19981,              0.3125,             0.21603,            0.088444,            0.041246,           0.0098552,            0.027648,           0.0014905,           0.0014905,           0.0014905
                  87,             0.03757,            0.025122,            0.015995,             0.19677,              0.3125,             0.21419,            0.091706,            0.039833,            0.010015,            0.026852,           0.0014283,           0.0014283,           0.0014283
                  88,            0.033575,            0.024396,           0.0099739,             0.15844,             0.31058,             0.18654,            0.088089,            0.040895,            0.010143,             0.02697,           0.0013701,           0.0013701,           0.0013701
